id,name,brand,type,subcategory,strain_type,description,image_url,all_image_urls,thc_unit,thc_range,cbd_unit,cbd_range,total_terpenes,effects,options_pricing_inventory,total_inventory_qty,status,featured,special,special_data,cName,createdAt,updatedAt,weight,measurements,cannabinoids,pos_metadata,raw_options,pricing_tier_data,brand_logo,brand_id,enterprise_product_id,dispensary_id
69dbbff364caaf193fbf4b91,JIVE | Don Carlos | Pre-roll | .5g | 2pk,JIVE,Pre-Rolls,singles,Hybrid,,https://s3-us-west-2.amazonaws.com/dutchie-images/preroll-stock-2-v1.jpg,https://s3-us-west-2.amazonaws.com/dutchie-images/preroll-stock-2-v1.jpg,,,,,,"{""Calm"": 9, ""Happy"": 8, ""Relaxed"": 6, ""Energetic"": 5, ""Pain-Relief"": 5}","[{""option"": ""1g"", ""price_rec"": 7.08, ""price_med"": 7.08, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 25}]",25,Active,,,,jive-don-carlos-pre-roll-5g-2pk,1776009203342,2026-05-22T21:42:51.965Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [1000], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""13348"", ""canonicalBrandName"": ""JIVE"", ""canonicalCategory"": ""Pre-Rolls"", ""canonicalCategoryId"": ""2780"", ""canonicalID"": ""398460"", ""canonicalPackageId"": ""850064105407"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""JIVE | Don Carlos | Pre-roll | .5g | 2pk"", ""canonicalProductTags"": [], ""canonicalSKU"": ""18610060"", ""canonicalStrainId"": ""69661"", ""canonicalVendorId"": ""11484"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""13348"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Pre-Rolls"", ""canonicalCategoryId"": ""2780"", ""canonicalEffectivePotencyMg"": 314.1, ""canonicalID"": ""398460"", ""canonicalPackageId"": ""850064105407"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""JIVE | Don Carlos | Pre-roll | .5g | 2pk"", ""canonicalSKU"": ""18610060"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""69661"", ""canonicalVendorId"": ""11484"", ""kioskQuantityAvailable"": 25, ""medPrice"": null, ""option"": ""1g"", ""packageQuantity"": null, ""price"": 7.08, ""quantity"": 25, ""quantityAvailable"": 25, ""recEquivalent"": null, ""recPrice"": 7.08, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""1.0g""]",,,5abb9f21-22f8-433a-8878-5ee9e64a45b9,69dbca572558390007df7e1e,680f91f53454d794a2625f8b
69702a018f16dc1d64cd4dd3,Golden Peach 'Recover' Camino Chews 10mg THC: 10mg CBG [10pk],Camino,Edible,gummies,Hybrid,,https://s3-us-west-2.amazonaws.com/dutchie-images/76711e1fd5066fefae34058be81437bd,https://s3-us-west-2.amazonaws.com/dutchie-images/76711e1fd5066fefae34058be81437bd,MILLIGRAMS,"[0, 100]",PERCENTAGE,"[0, 0]",,"{""calm"": 9, ""energetic"": 5, ""happy"": 8, ""relaxed"": 6}","[{""option"": ""0.01g"", ""price_rec"": 26.55, ""price_med"": 26.55, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 12}]",12,Active,,,,golden-peach-recover-camino-chews-10mg-thc-10mg-cbg-10pk,1768958465421,2026-05-23T16:42:18.520Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [10], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""9590"", ""canonicalBrandName"": ""Camino"", ""canonicalCategory"": ""Gummy"", ""canonicalCategoryId"": ""6577"", ""canonicalID"": ""321634"", ""canonicalPackageId"": ""810076071800"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Camino Chews | Golden Peach | Recover | 100mg"", ""canonicalProductTags"": [], ""canonicalSKU"": ""45131082"", ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""9399"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""9590"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Gummy"", ""canonicalCategoryId"": ""6577"", ""canonicalEffectivePotencyMg"": 100, ""canonicalID"": ""321634"", ""canonicalPackageId"": ""810076071800"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Camino Chews | Golden Peach | Recover | 100mg"", ""canonicalSKU"": ""45131082"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""9399"", ""kioskQuantityAvailable"": 12, ""medPrice"": null, ""option"": ""0.01g"", ""packageQuantity"": null, ""price"": 26.55, ""quantity"": 12, ""quantityAvailable"": 12, ""recEquivalent"": null, ""recPrice"": 26.55, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""0.01g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/4644d038476c24bc7834f7b63b12b8df,d5a04b99-5ebf-4f65-b243-2d36ac5de7db,697038d899bb68000738cc0a,680f91f53454d794a2625f8b
695496a80f766503cbf25f9c,Nanticoke | Lemon Cherry Gelato | 3.5g,Nanticoke,Flower,,Hybrid,,https://s3-us-west-2.amazonaws.com/dutchie-images/flower-stock-3-v1.jpg,https://s3-us-west-2.amazonaws.com/dutchie-images/flower-stock-3-v1.jpg,,,,,,"{""Calm"": 9, ""Energetic"": 5, ""Happy"": 8, ""Pain-Relief"": 5, ""Relaxed"": 6}","[{""option"": ""1/8oz"", ""price_rec"": 35.39, ""price_med"": 35.39, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 13}]",13,Active,,,,nanticoke-lemon-cherry-gelato-3-5g,1767151272105,2026-05-20T16:22:41.695Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [3500], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8807"", ""canonicalBrandName"": ""Nanticoke"", ""canonicalCategory"": ""Flower"", ""canonicalCategoryId"": ""2779"", ""canonicalID"": ""290089"", ""canonicalPackageId"": ""850074036579"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Nanticoke | Lemon Cherry Gelato | 3.5g"", ""canonicalProductTags"": [], ""canonicalSKU"": ""04423255"", ""canonicalStrainId"": ""49867"", ""canonicalVendorId"": ""9084"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8807"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Flower"", ""canonicalCategoryId"": ""2779"", ""canonicalEffectivePotencyMg"": 1120, ""canonicalID"": ""290089"", ""canonicalPackageId"": ""850074036579"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Nanticoke | Lemon Cherry Gelato | 3.5g"", ""canonicalSKU"": ""04423255"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""49867"", ""canonicalVendorId"": ""9084"", ""kioskQuantityAvailable"": 13, ""medPrice"": null, ""option"": ""1/8oz"", ""packageQuantity"": null, ""price"": 35.39, ""quantity"": 13, ""quantityAvailable"": 13, ""recEquivalent"": null, ""recPrice"": 35.39, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""3.5g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/0858a94b04a23dba934e0470fa379d68,67098cf2-b9b2-4b75-a9cb-c54d5ab6f6ad,6954a59f4a02ad00074e7a19,680f91f53454d794a2625f8b
69dbbff364caaf193fbf4b94,JIVE | Blueberry Muffin | Pre-roll | .5g | 2pk,JIVE,Pre-Rolls,singles,Indica,,https://s3-us-west-2.amazonaws.com/dutchie-images/preroll-stock-2-v1.jpg,https://s3-us-west-2.amazonaws.com/dutchie-images/preroll-stock-2-v1.jpg,,,,,,"{""Relaxed"": 9, ""Pain-Relief"": 7, ""Sleepy"": 8, ""Happy"": 8, ""Euphoric"": 8}","[{""option"": ""1g"", ""price_rec"": 7.08, ""price_med"": 7.08, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 25}]",25,Active,,,,jive-blueberry-muffin-pre-roll-5g-2pk,1776009203343,2026-05-22T21:42:51.966Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [1000], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""13348"", ""canonicalBrandName"": ""JIVE"", ""canonicalCategory"": ""Pre-Rolls"", ""canonicalCategoryId"": ""2780"", ""canonicalID"": ""398464"", ""canonicalPackageId"": ""850064105414"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""JIVE | Blueberry Muffin | Pre-roll | .5g | 2pk"", ""canonicalProductTags"": [], ""canonicalSKU"": ""00789662"", ""canonicalStrainId"": ""49822"", ""canonicalVendorId"": ""11484"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""13348"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Pre-Rolls"", ""canonicalCategoryId"": ""2780"", ""canonicalEffectivePotencyMg"": 306.2, ""canonicalID"": ""398464"", ""canonicalPackageId"": ""850064105414"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""JIVE | Blueberry Muffin | Pre-roll | .5g | 2pk"", ""canonicalSKU"": ""00789662"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""49822"", ""canonicalVendorId"": ""11484"", ""kioskQuantityAvailable"": 25, ""medPrice"": null, ""option"": ""1g"", ""packageQuantity"": null, ""price"": 7.08, ""quantity"": 25, ""quantityAvailable"": 25, ""recEquivalent"": null, ""recPrice"": 7.08, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""1.0g""]",,,5abb9f21-22f8-433a-8878-5ee9e64a45b9,69dbca572558390007df7e26,680f91f53454d794a2625f8b
69bc5f9b252f9f747933600f,Yellow Beltz Live Resin Tincture | 15mL,MFNY,Tincture,,Sativa,,https://s3-us-west-2.amazonaws.com/dutchie-images/c728025714a05203064d22e8a92449e9,https://s3-us-west-2.amazonaws.com/dutchie-images/c728025714a05203064d22e8a92449e9,PERCENTAGE,"[0, 0]",PERCENTAGE,"[0, 0]",,,"[{""option"": "".5g"", ""price_rec"": 44.25, ""price_med"": 44.25, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 1}]",1,Active,,,,yellow-beltz-live-resin-tincture-15ml-87154,1773952923851,2026-05-17T17:04:08.067Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [500], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8516"", ""canonicalBrandName"": ""MFNY"", ""canonicalCategory"": ""Tincture"", ""canonicalCategoryId"": ""6581"", ""canonicalID"": ""375558"", ""canonicalPackageId"": ""810139763208"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""MFNY | Yellow Beltz | Live Resin | Tincture"", ""canonicalProductTags"": [], ""canonicalSKU"": ""30764361"", ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""8769"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8516"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Tincture"", ""canonicalCategoryId"": ""6581"", ""canonicalEffectivePotencyMg"": 422, ""canonicalID"": ""375558"", ""canonicalPackageId"": ""810139763208"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""MFNY | Yellow Beltz | Live Resin | Tincture"", ""canonicalSKU"": ""30764361"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""8769"", ""kioskQuantityAvailable"": 1, ""medPrice"": null, ""option"": "".5g"", ""packageQuantity"": null, ""price"": 44.25, ""quantity"": 1, ""quantityAvailable"": 1, ""recEquivalent"": null, ""recPrice"": 44.25, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""0.5g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/99ff592896b4888a187b1b5e0344798a,d094af4e-efd8-433e-8fd5-a255ae95df55,69bc6b89258bfb0007b4ab44,680f91f53454d794a2625f8b
69487c32f03fa5b081768631,White Widow | 510 | CDT,Jaunty,Vaporizers,cartridges,Indica,,https://s3-us-west-2.amazonaws.com/dutchie-images/3cdd72262219fd1711118c7c73aed0b7,https://s3-us-west-2.amazonaws.com/dutchie-images/3cdd72262219fd1711118c7c73aed0b7,PERCENTAGE,"[0, 90]",PERCENTAGE,"[0, 0]",,"{""calm"": 9, ""energetic"": 5, ""happy"": 8, ""relaxed"": 6}","[{""option"": ""1g"", ""price_rec"": 39.83, ""price_med"": 39.83, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 7}]",7,Active,,,,white-widow-510-cdt,1766358066551,2026-05-18T22:28:09.174Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [1000], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8566"", ""canonicalBrandName"": ""Jaunty"", ""canonicalCategory"": ""Cart"", ""canonicalCategoryId"": ""6576"", ""canonicalID"": ""285205"", ""canonicalPackageId"": ""850049967747"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Jaunty | White Widow | Cart | 1g"", ""canonicalProductTags"": [], ""canonicalSKU"": ""13266393"", ""canonicalStrainId"": ""50426"", ""canonicalVendorId"": ""8940"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8566"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Cart"", ""canonicalCategoryId"": ""6576"", ""canonicalEffectivePotencyMg"": 900, ""canonicalID"": ""285205"", ""canonicalPackageId"": ""850049967747"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Jaunty | White Widow | Cart | 1g"", ""canonicalSKU"": ""13266393"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""50426"", ""canonicalVendorId"": ""8940"", ""kioskQuantityAvailable"": 7, ""medPrice"": null, ""option"": ""1g"", ""packageQuantity"": null, ""price"": 39.83, ""quantity"": 7, ""quantityAvailable"": 7, ""recEquivalent"": null, ""recPrice"": 39.83, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""1.0g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/60d1a32c0cf0e0f3621be05954f648f7,bc84e68f-59fa-4468-85c3-139a50579c5b,694881cf70dcc100078e728b,680f91f53454d794a2625f8b
69a46e99c5c05c02ad7d7ec9,White Fire Live Resin Badder | 1g,MFNY,Concentrate,badder,Sativa,,https://s3-us-west-2.amazonaws.com/dutchie-images/3d53cc93064c9cebeb50c070fad78abf,https://s3-us-west-2.amazonaws.com/dutchie-images/3d53cc93064c9cebeb50c070fad78abf,PERCENTAGE,"[0, 0]",PERCENTAGE,"[0, 0]",,"{""uplifted"": 5}","[{""option"": ""1g"", ""price_rec"": 57.52, ""price_med"": 57.52, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 9}]",9,Active,,,,white-fire-live-resin-badder-1g-72892,1772383897604,2026-05-15T07:02:24.857Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [1000], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8516"", ""canonicalBrandName"": ""MFNY"", ""canonicalCategory"": ""Badder"", ""canonicalCategoryId"": ""6784"", ""canonicalID"": ""357748"", ""canonicalPackageId"": ""810139762850"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""MFNY | White Fire OG | Live Resin | Badder | 1g"", ""canonicalProductTags"": [], ""canonicalSKU"": ""87869796"", ""canonicalStrainId"": ""60583"", ""canonicalVendorId"": ""8769"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8516"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Badder"", ""canonicalCategoryId"": ""6784"", ""canonicalEffectivePotencyMg"": 743.2, ""canonicalID"": ""357748"", ""canonicalPackageId"": ""810139762850"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""MFNY | White Fire OG | Live Resin | Badder | 1g"", ""canonicalSKU"": ""87869796"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""60583"", ""canonicalVendorId"": ""8769"", ""kioskQuantityAvailable"": 9, ""medPrice"": null, ""option"": ""1g"", ""packageQuantity"": null, ""price"": 57.52, ""quantity"": 9, ""quantityAvailable"": 9, ""recEquivalent"": null, ""recPrice"": 57.52, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""1.0g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/99ff592896b4888a187b1b5e0344798a,d094af4e-efd8-433e-8fd5-a255ae95df55,69a4784f31ba220007ed183d,680f91f53454d794a2625f8b
6940872a19a4f2ada049a2e6,Weed Water | Peach deez | Cans | 7.5oz,Weed Water,Edible,drinks,N/A,,https://s3-us-west-2.amazonaws.com/dutchie-images/Edibles.jpg,https://s3-us-west-2.amazonaws.com/dutchie-images/Edibles.jpg,,,,,,,"[{""option"": ""0.01g"", ""price_rec"": 3.54, ""price_med"": 3.54, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 14}]",14,Active,,,,weed-water-peach-deez-cans-7-5oz,1765836586009,2026-05-15T07:02:22.264Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [10], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8380"", ""canonicalBrandName"": ""Weed Water"", ""canonicalCategory"": ""Beverages"", ""canonicalCategoryId"": ""2776"", ""canonicalID"": ""282452"", ""canonicalPackageId"": ""850046334672"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Weed Water | Peach deez | Cans | 7.5oz"", ""canonicalProductTags"": [], ""canonicalSKU"": ""850046334672"", ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""8811"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8380"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Beverages"", ""canonicalCategoryId"": ""2776"", ""canonicalEffectivePotencyMg"": 5, ""canonicalID"": ""282452"", ""canonicalPackageId"": ""850046334672"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Weed Water | Peach deez | Cans | 7.5oz"", ""canonicalSKU"": ""850046334672"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""8811"", ""kioskQuantityAvailable"": 14, ""medPrice"": null, ""option"": ""0.01g"", ""packageQuantity"": null, ""price"": 3.54, ""quantity"": 14, ""quantityAvailable"": 14, ""recEquivalent"": null, ""recPrice"": 3.54, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""0.01g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/68c8561036adb67c0746be6262601abe,0a15adb4-7b3f-42af-a23b-4f2209dadd9a,694098c50dd29a0007e435e6,680f91f53454d794a2625f8b
6940872a19a4f2ada049a2e5,Weed Water | Berry rntz | Cans | 7.5oz,Weed Water,Edible,drinks,N/A,,https://s3-us-west-2.amazonaws.com/dutchie-images/Edibles.jpg,https://s3-us-west-2.amazonaws.com/dutchie-images/Edibles.jpg,,,,,,,"[{""option"": ""0.01g"", ""price_rec"": 3.54, ""price_med"": 3.54, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 13}]",13,Active,,,,weed-water-berry-rntz-cans-7-5oz,1765836586008,2026-05-15T07:02:22.262Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [10], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8380"", ""canonicalBrandName"": ""Weed Water"", ""canonicalCategory"": ""Beverages"", ""canonicalCategoryId"": ""2776"", ""canonicalID"": ""282451"", ""canonicalPackageId"": ""850046334689"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Weed Water | Berry rntz | Cans | 7.5oz"", ""canonicalProductTags"": [], ""canonicalSKU"": ""850046334689"", ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""8811"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8380"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Beverages"", ""canonicalCategoryId"": ""2776"", ""canonicalEffectivePotencyMg"": 5, ""canonicalID"": ""282451"", ""canonicalPackageId"": ""850046334689"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Weed Water | Berry rntz | Cans | 7.5oz"", ""canonicalSKU"": ""850046334689"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""34469"", ""canonicalVendorId"": ""8811"", ""kioskQuantityAvailable"": 13, ""medPrice"": null, ""option"": ""0.01g"", ""packageQuantity"": null, ""price"": 3.54, ""quantity"": 13, ""quantityAvailable"": 13, ""recEquivalent"": null, ""recPrice"": 3.54, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""0.01g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/68c8561036adb67c0746be6262601abe,0a15adb4-7b3f-42af-a23b-4f2209dadd9a,694098c50dd29a0007e435e3,680f91f53454d794a2625f8b
69487c32f03fa5b081768630,Wedding Cake | 510 Cartridge | CDT | 1g,Jaunty,Vaporizers,cartridges,Indica,,https://s3-us-west-2.amazonaws.com/dutchie-images/96c8e4f9ad36bd41207c394c9ee118f6,https://s3-us-west-2.amazonaws.com/dutchie-images/96c8e4f9ad36bd41207c394c9ee118f6,PERCENTAGE,"[0, 90]",PERCENTAGE,"[0, 0]",,"{""happy"": 8, ""relaxed"": 9, ""sleepy"": 8}","[{""option"": ""1g"", ""price_rec"": 39.83, ""price_med"": 39.83, ""price_rec_special"": null, ""price_med_special"": null, ""quantity_available"": 3}]",3,Active,,,,wedding-cake-510-cartridge-cdt-1g-24225,1766358066551,2026-05-18T22:28:09.142Z,1000,"{""netWeight"": {""unit"": ""MILLIGRAMS"", ""values"": [1000], ""__typename"": ""Products_measurement""}, ""volume"": null, ""__typename"": ""Products_measurements""}",,"{""activeBatchTags"": [], ""canonicalBrandId"": ""8566"", ""canonicalBrandName"": ""Jaunty"", ""canonicalCategory"": ""Cart"", ""canonicalCategoryId"": ""6576"", ""canonicalID"": ""285204"", ""canonicalPackageId"": ""850049967099"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Jaunty | Wedding Cake | Cart | 1g"", ""canonicalProductTags"": [], ""canonicalSKU"": ""91853506"", ""canonicalStrainId"": ""50425"", ""canonicalVendorId"": ""8940"", ""children"": [{""activeBatchTags"": [], ""canonicalBrandId"": ""8566"", ""canonicalBrandName"": null, ""canonicalCategory"": ""Cart"", ""canonicalCategoryId"": ""6576"", ""canonicalEffectivePotencyMg"": 900, ""canonicalID"": ""285204"", ""canonicalPackageId"": ""850049967099"", ""canonicalImgUrl"": null, ""canonicalLabResultUrl"": null, ""canonicalName"": ""Jaunty | Wedding Cake | Cart | 1g"", ""canonicalSKU"": ""91853506"", ""canonicalProductTags"": [], ""canonicalStrainId"": ""50425"", ""canonicalVendorId"": ""8940"", ""kioskQuantityAvailable"": 3, ""medPrice"": null, ""option"": ""1g"", ""packageQuantity"": null, ""price"": 39.83, ""quantity"": 3, ""quantityAvailable"": 3, ""recEquivalent"": null, ""recPrice"": 39.83, ""standardEquivalent"": null, ""__typename"": ""Products_POSMetaData_children""}], ""integrationID"": ""693303c70938599630dce337"", ""__typename"": ""Products_POSMetaData""}","[""1.0g""]",,https://s3-us-west-2.amazonaws.com/dutchie-images/60d1a32c0cf0e0f3621be05954f648f7,bc84e68f-59fa-4468-85c3-139a50579c5b,694881cf70dcc100078e727b,680f91f53454d794a2625f8b
